"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2573","Click on Product and get image count","Mobile Chrome","2026-07-17","failed","2026-07-17","","searchproduct.spec.ts","",""
"","4455","Search Product samsung","webkit","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","3397","Register Email Bob","Microsoft Edge","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","3718","Click on Product and get image count","Google Chrome","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","698","GET API -- get all users","Mobile Safari","2026-07-17","passed","2026-07-17","","api/user.api.spec.ts","",""
"","6084","Click on Product and get image count","webkit","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","2721","e2e crud flow test","Google Chrome","2026-07-17","passed","2026-07-17","","api/e2ecred.spec.ts","",""
"","5685","Get Product MetaData","webkit","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","3873","Register Email Alice","chromium","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","4287","Get Product MetaData","chromium","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","3171","Register Email Charlie","chromium","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","3753","Search Product samsung","firefox","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","3320","Register Email Charlie","Microsoft Edge","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","3772","Register Email Alice","firefox","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","3618","Get Product MetaData","Mobile Safari","2026-07-17","failed","2026-07-17","","searchproduct.spec.ts","",""
"","3051","Search Product samsung","Google Chrome","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","5592","Register Email Alice","webkit","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","5070","Register Email Charlie","webkit","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","3402","Search Product macbook","firefox","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","715","GET API -- get all users","Microsoft Edge","2026-07-17","passed","2026-07-17","","api/user.api.spec.ts","",""
"","3678","Click on Product and get image count","Mobile Safari","2026-07-17","failed","2026-07-17","","searchproduct.spec.ts","",""
"","2858","Login to portal","Microsoft Edge","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","3596","Search Product samsung","Mobile Safari","2026-07-17","failed","2026-07-17","","searchproduct.spec.ts","",""
"","3021","Login to portal","Google Chrome","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","2448","Login with invalid credentails","Google Chrome","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","3165","Search Product samsung","Microsoft Edge","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","2377","Login with invalid credentails","Mobile Chrome","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","3014","Search Product macbook","Google Chrome","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","2667","Login with invalid credentails","chromium","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","3292","Login with invalid credentails","Mobile Safari","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","725","GET API -- get all users","webkit","2026-07-17","passed","2026-07-17","","api/user.api.spec.ts","",""
"","4732","Get Product MetaData","firefox","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","4310","Click on Product and get image count","chromium","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","31028","Register Email Alice","Mobile Chrome","2026-07-17","broken","2026-07-17","","login.spec.ts","",""
"","3796","Register Email Bob","chromium","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","2739","e2e crud flow test","Microsoft Edge","2026-07-17","passed","2026-07-17","","api/e2ecred.spec.ts","",""
"","4350","Login to portal","firefox","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","4428","Get Product MetaData","Google Chrome","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","3654","Login to portal","Mobile Safari","2026-07-17","failed","2026-07-17","","login.spec.ts","",""
"","2638","Login to portal","Mobile Chrome","2026-07-17","failed","2026-07-17","","login.spec.ts","",""
"","2448","Get Product MetaData","Mobile Chrome","2026-07-17","failed","2026-07-17","","searchproduct.spec.ts","",""
"","3672","Search Product macbook","Mobile Safari","2026-07-17","failed","2026-07-17","","searchproduct.spec.ts","",""
"","31030","Register Email Charlie","Mobile Chrome","2026-07-17","broken","2026-07-17","","login.spec.ts","",""
"","3396","e2e crud flow test","chromium","2026-07-17","passed","2026-07-17","","api/e2ecred.spec.ts","",""
"","728","GET API -- get all users","Google Chrome","2026-07-17","passed","2026-07-17","","api/user.api.spec.ts","",""
"","2773","Login to portal","chromium","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","714","GET API -- get all users","Mobile Chrome","2026-07-17","passed","2026-07-17","","api/user.api.spec.ts","",""
"","3351","e2e crud flow test","webkit","2026-07-17","passed","2026-07-17","","api/e2ecred.spec.ts","",""
"","3398","Register Email Bob","Google Chrome","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","4711","Click on Product and get image count","firefox","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","3858","Click on Product and get image count","Microsoft Edge","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","3910","Register Email Alice","Google Chrome","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","2336","Login with invalid credentails","Microsoft Edge","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","31048","Register Email Charlie","Mobile Safari","2026-07-17","broken","2026-07-17","","login.spec.ts","",""
